접수연도,자치구명,물건금액(만원),건물면적(㎡),건물용도,평당가격(만원)
2021,구로구,92000,84.57,아파트,1087.856214
2021,구로구,111500,84.94,아파트,1312.691312
2021,강북구,77500,84.93,아파트,912.5161898
2021,마포구,217000,118.28,아파트,1834.629692
2021,구로구,57400,59.91,아파트,958.1038224
2021,구로구,67000,59.44,아파트,1127.187079
2021,마포구,113300,59.48,아파트,1904.841964
2021,구로구,72800,113.43,아파트,641.8055188
2021,강남구,340000,94.29,아파트,3605.896702
2021,강남구,41000,36.29,아파트,1129.78782
2021,구로구,84500,58.14,아파트,1453.388373
2021,마포구,128000,84.9,아파트,1507.656066
2021,강남구,300000,84.55,아파트,3548.196334
2021,강남구,165500,59.67,아파트,2773.588068
2021,강남구,200000,84.86,아파트,2356.823003
2021,강남구,172000,59.67,아파트,2882.52053
2021,종로구,170000,59.94,아파트,2836.169503
2021,강남구,45000,43.99,아파트,1022.959764
2021,강남구,150000,84.78,아파트,1769.285209
2021,마포구,190000,115.04,아파트,1651.599444
2021,구로구,73000,84.9,아파트,859.8351001
2021,종로구,34800,26.33,아파트,1321.686289
2021,강남구,41000,41.68,아파트,983.6852207
2021,마포구,64000,81.38,아파트,786.4340133
2021,마포구,160000,84.94,아파트,1883.682599
2021,구로구,99500,84.92,아파트,1171.691003
2021,강남구,330000,90.2,아파트,3658.536585
2021,강북구,54700,59.82,아파트,914.4098964
2021,종로구,19500,16.67,아파트,1169.766047
2021,마포구,29000,37.21,아파트,779.360387
2021,종로구,36800,39.67,아파트,927.6531384
2021,강남구,230000,59.48,아파트,3866.845999
2021,구로구,116000,84.87,아파트,1366.796277
2021,강남구,230000,59.48,아파트,3866.845999
2021,구로구,97000,80.01,아파트,1212.348456
2021,구로구,11800,15.58,아파트,757.381258
2021,강남구,253000,154.77,아파트,1634.683724
2021,강남구,235000,84.97,아파트,2765.682005
2021,마포구,134500,59.43,아파트,2263.166751
2021,마포구,28100,34.29,아파트,819.4808982
2021,구로구,80000,84.88,아파트,942.5070688
2021,강남구,40000,36.29,아파트,1102.23202
2021,구로구,69500,84.06,아파트,826.7903878
2021,구로구,87000,54.54,아파트,1595.159516
2021,강남구,482500,222.48,아파트,2168.734268
2021,강북구,74700,84.91,아파트,879.7550347
2021,구로구,73000,105.21,아파트,693.8503944
2021,마포구,134500,84.87,아파트,1584.776717
2021,강북구,85750,122.58,아파트,699.5431555
2021,구로구,20900,41.4,아파트,504.8309179
2021,강북구,72000,83.72,아파트,860.0095557
2021,구로구,81500,60,아파트,1358.333333
2021,마포구,147500,59.98,아파트,2459.153051
2021,강남구,103000,34.44,아파트,2990.708479
2021,마포구,165000,84.99,아파트,1941.404871
2021,구로구,62000,59.82,아파트,1036.442661
2021,강북구,66300,84.83,아파트,781.5631263
2021,구로구,11000,16.04,아파트,685.7855362
2021,강남구,200000,113.31,아파트,1765.069279
2021,구로구,81500,56.04,아파트,1454.318344
2021,구로구,25000,48.96,아파트,510.620915
2021,종로구,61700,59.28,아파트,1040.823212
2021,강남구,17800,14.92,아파트,1193.029491
2021,종로구,35000,26.65,아파트,1313.320826
2021,종로구,61700,59.28,아파트,1040.823212
2021,강남구,312000,121.93,아파트,2558.845239
2021,구로구,85000,84.94,아파트,1000.706381
2021,강남구,325000,136.28,아파트,2384.796008
2021,마포구,111000,50.03,아파트,2218.668799
2021,구로구,108000,59.98,아파트,1800.6002
2021,종로구,76500,64.66,아파트,1183.111661
2021,구로구,75000,114.95,아파트,652.4575903
2021,강남구,42900,43.99,아파트,975.2216413
2021,구로구,64000,84.19,아파트,760.1852952
2021,종로구,43000,56.88,아파트,755.9774965
2021,구로구,76900,60.05,아파트,1280.5995
2021,마포구,63500,41.32,아파트,1536.78606
2021,강남구,272000,84.86,아파트,3205.279284
2021,구로구,24500,44.32,아파트,552.7978339
2021,종로구,34800,24.44,아파트,1423.895254
2021,종로구,29800,19.31,아파트,1543.241844
2021,강남구,67000,66.81,아파트,1002.843886
2021,마포구,56800,30.01,아파트,1892.702433
2021,강남구,170000,59.81,아파트,2842.334058
2021,강남구,170000,59.81,아파트,2842.334058
2021,구로구,85000,84.63,아파트,1004.371972
2021,구로구,26000,43.05,아파트,603.9488966
2021,마포구,59300,84.91,아파트,698.3865269
2021,강남구,330000,139.54,아파트,2364.913287
2021,강남구,19000,17.68,아파트,1074.660633
2021,마포구,169500,104.32,아파트,1624.808282
2021,마포구,100000,49.8,아파트,2008.032129
2021,구로구,87000,59.96,아파트,1450.967312
2021,마포구,170000,84.84,아파트,2003.771806
2021,강남구,300000,76.17,아파트,3938.558488
2021,구로구,11500,15.54,아파트,740.02574
2021,구로구,77900,59.49,아파트,1309.463775
2021,마포구,98000,58.71,아파트,1669.221598
2021,강남구,123500,59.93,아파트,2060.737527
2021,구로구,74700,84.99,아파트,878.9269326
2021,구로구,56000,84.56,아파트,662.2516556
2021,구로구,72000,69.87,아파트,1030.485187
2021,구로구,135000,101.74,아파트,1326.911736
2021,강남구,110080,83.85,아파트,1312.820513
2021,구로구,69500,74.1,아파트,937.9217274
2021,강북구,65000,84.99,아파트,764.7958583
2021,강남구,225000,84.94,아파트,2648.928656
2021,강북구,26500,63.45,아파트,417.6516942
2021,강남구,265000,124.66,아파트,2125.782127
2021,종로구,34800,26.33,아파트,1321.686289
2021,강남구,250000,79.61,아파트,3140.309006
